"","gas","food","dap","yr"
"120",4.44,48.57630874365,153.5,2000.91666666667
"121",4.65,48.58933836365,154.5,2001
"122",4.59,48.09572734412,159,2001.08333333333
"123",4.57,47.75155038944,159.125,2001.16666666667
"124",4.48,47.16380047131,151.3,2001.25
"125",4.36,47.81747532237,142,2001.33333333333
"126",4.33,48.3150294497,133.125,2001.41666666667
"127",3.75,52.1170992358,135,2001.5
"128",3.79,51.82591656362,135,2001.58333333333
"129",3.79,49.41702807713,135,2001.66666666667
"130",3.52,46.794049873,135.9,2001.75
"131",3.46,48.44290532111,140.5,2001.83333333333
"132",3.4,48.47155896193,141.66666666667,2001.91666666667
"133",3.06,48.79905704855,146,2002
"134",3.03,48.09747520604,150.25,2002.08333333333
"135",2.97,48.86878781341,149.75,2002.16666666667
"136",2.81,48.53204517172,147.8,2002.25
"137",2.83,49.52720045226,143.875,2002.33333333333
"138",2.9,51.15638614958,149.5,2002.41666666667
"139",2.95,52.6073282966,160.5,2002.5
"140",3.01,53.27091567592,162.5,2002.58333333333
"141",3.08,55.11093267472,160.9,2002.66666666667
"142",3.28,55.1140484993,156.25,2002.75
"143",3.34,54.70738939339,151.5,2002.83333333333
"144",3.36,55.79373583796,147.5,2002.91666666667
"145",3.61,55.69287722353,149.75,2003
"146",3.67,55.24846462186,155.25,2003.08333333333
"147",3.74,54.86594175951,177.2,2003.16666666667
"148",4.03,54.28944785424,181.5,2003.25
"149",4.04,54.21378961057,178.4375,2003.33333333333
"150",4.05,53.9865699902,171.3,2003.41666666667
"151",4.04,52.77584059333,176.375,2003.5
"152",3.98,53.85199144387,175.625,2003.58333333333
"153",3.97,55.54750813383,171.3,2003.66666666667
"154",3.88,59.74917658414,166.375,2003.75
"155",3.9,62.15297027005,169.375,2003.83333333333
"156",3.97,61.85163416359,187.5,2003.91666666667
"157",3.87,63.91766900855,204.25,2004
"158",3.89,66.17158507381,211.5,2004.08333333333
"159",3.86,69.79744775001,205.3,2004.16666666667
"160",3.92,69.11213285192,199.375,2004.25
"161",3.95,66.52795601821,191.1,2004.33333333333
"162",4.01,64.19681783633,190.625,2004.41666666667
"163",4.28,62.55562712299,201.5,2004.5
"164",4.34,61.1286900345,208.1,2004.58333333333
"165",4.41,60.82456254726,208.5,2004.66666666667
"166",4.83,59.68953329729,211.75,2004.75
"167",4.96,59.43808648228,213.8,2004.83333333333
"168",5.01,59.76626978257,211.125,2004.91666666667
"169",5.46,60.0333806494,208.6,2005
"170",5.49,62.13575300544,207.125,2005.08333333333
"171",5.52,65.27823276718,210.625,2005.16666666667
"172",5.86,63.29092750308,214.75,2005.25
"173",5.89,62.72689411857,217.2,2005.33333333333
"174",5.91,62.35693085868,224.25,2005.41666666667
"175",6.42,61.94187127881,228.25,2005.5
"176",6.56,61.01915859487,231.5,2005.58333333333
"177",6.58,61.97592490266,240.75,2005.66666666667
"178",7.28,63.12949994514,246.375,2005.75
"179",7.46,62.02329075519,246.125,2005.83333333333
"180",7.49,63.66263339296,245.875,2005.91666666667
"181",7.96,64.74982876149,244.3,2006
"182",7.95,67.4384377102,238.125,2006.08333333333
"183",7.99,66.19703396077,233.625,2006.16666666667
"184",8.24,65.83003923819,231.75,2006.25
"185",8.28,68.17077204728,232.9,2006.33333333333
"186",8.29,65.77807835672,232.375,2006.41666666667
"187",8.58,66.91548245458,230.3,2006.5
"188",8.71,66.56623654608,228.25,2006.58333333333
"189",8.77,66.42142583947,225.125,2006.66666666667
"190",8.97,69.33041368021,218.5,2006.75
"191",8.99,72.57860044888,219.375,2006.83333333333
"192",8.92,72.88858702955,223.83333333333,2006.91666666667
"193",8.59,73.52746430431,249.2,2007
"194",8.56,75.93825889873,317.625,2007.08333333333
"195",8.37,75.63876868185,387,2007.16666666667
"196",8,75.45247451279,404.6,2007.25
"197",7.98,77.93042611284,392,2007.33333333333
"198",8.03,81.53451000426,387.875,2007.41666666667
"199",8.13,83.37085295276,398.5,2007.5
"200",8.34,84.69857741621,401.625,2007.58333333333
"201",8.54,89.43782070435,399.625,2007.66666666667
"202",9.16,92.77890203303,406,2007.75
"203",9.47,96.2353101701,447,2007.83333333333
"204",9.49,99.84899916558,512.5,2007.91666666667
"205",10.7,106.2190214655,593.875,2008
"206",10.84,116.07009618644,692.5,2008.08333333333
"207",11.04,123.94143332525,862.2,2008.16666666667
"208",12.19,127.57790025418,953.5,2008.25
"209",12.38,127.27882256302,997.5,2008.33333333333
"210",12.63,131.16811232456,1004.1,2008.41666666667
"211",14.37,128.05069308104,1075.75,2008.5
"212",14.64,116.09961566994,1065,2008.58333333333
"213",14.85,108.6992107294,980,2008.66666666667
"214",15.93,91.15935131277,910,2008.75
"215",15.81,85.32413162849,710,2008.83333333333
"216",15.5,82.22953340076,495,2008.91666666667
"217",13.89,88.64215137272,308.875,2009
"218",11.04,87.70162915179,313.75,2009.08333333333
"219",10.9,87.29166378186,317.8,2009.16666666667
"220",8.51,90.58306487917,300.625,2009.25
"221",8.09,96.58896874141,267.875,2009.33333333333
"222",7.95,96.92587295525,256.1,2009.41666666667
"223",6.67,92.17232732329,263.25,2009.5
"224",6.92,95.60059659602,276.4,2009.58333333333
"225",7.13,92.47932619004,280.625,2009.66666666667
"226",7.6,93.54595513117,271.625,2009.75
"227",7.81,96.76652837996,273.2,2009.83333333333
"228",8.01,97.55425060625,331.5,2009.91666666667
"229",8.8,98.46200403029,383,2010
"230",8.8,95.36840297008,413.625,2010.08333333333
"231",8.93,92.59721474011,424.5,2010.16666666667
"232",7.52,91.71005098498,417.5,2010.25
"233",7.27,90.38530086303,410,2010.33333333333
"234",7.74,89.11357552684,392.5,2010.41666666667
"235",8.04,93.81823885317,418.125,2010.5
"236",8.45,99.27472417671,459.9,2010.58333333333
"237",8.28,104.65401345927,506,2010.66666666667
